Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1338-6204,SPL,640.0,79.34450383985427,30.693054952795595,57.40619061805432,16.18186519536266
J1341-6220,SPL,1360.0,18.79730795720676,10.14286325091433,5.87133899658815,2.2798979282016023
J1348-6307,SPL,1277.7,767.8795530996754,79.35097327564866,1783.3410513655783,126.13802245247184
J1349-6130,SPL,1360.0,7.094218657206337,3.4829339064179803,2.6494048037456888,0.9571447475018564
J1352-6803,SPL,1278.75,1016.60643580035,132.79458345862278,710.4840655060995,63.64484843823621
J1355-5925,SPL,1342.75,20.96282011814786,7.28847225559722,24.45055927127886,5.871044988245443
J1357-62,SPL,728.0,462.6201465362293,137.64298515363552,259.222439513029,54.40742852129996
J1357-6429,SPL,728.0,12.967458610706712,4.712268893508238,6.1684321730407,1.5842126853360778
J1401-6357,SPL,400.0,556.9840801116065,142.78268513370355,207.5083367196551,34.32326760763345
J1410-6132,SPL,1360.0,10.492489208358698,6.216814034537494,2.527364092309906,1.131651265638829
J1412-6111,SPL,1275.57,78.85673867112578,16.38772085706741,172.03438675409112,24.559371257330916
J1412-6145,SPL,1360.0,17.445068643973826,6.249142592097488,6.195132128689144,1.6548307117266543
J1413-6141,SPL,1360.0,2.979750154496577,1.9693161142962192,1.0538286277941509,0.5110372060781931
J1413-6307,SPL,640.0,11.86772329548528,5.5491852915520985,10.876436784039209,3.57679965883484
J1415-6621,SPL,728.0,17.84068815218881,5.791601789124284,11.385294182069751,2.5344368958472296
J1420-5416,SPL,400.0,112.87650480870984,23.878740649233617,73.66007391880106,10.686258954577363
J1420-6048,SPL,1360.0,2.2356385106210706,1.8146405247771265,0.7753684345106159,0.465324668753038
J1424-5556,SPL,1277.64,35.15050594257997,9.146560964658658,64.38900425003636,11.484929317020947
J1424-5822,SPL,728.0,78.52057341036841,21.05404093041362,53.28055931931955,9.880100195093195
J1428-5530,SPL,400.0,174.25107287865094,65.4609965343734,62.03939091312141,16.000013095762796
J1444-5941,SPL,1277.49,250.83050045307849,38.77284429602198,450.9254570030899,47.86468878474191
J1446-4701,SPL,730.0,44.77621386353885,10.676613619419,15.476571238925308,2.4384918794726964
J1452-5851,SPL,728.0,3.9068375564788056,1.7662591683544602,1.5529557513126917,0.5188044754308346
J1452-6036,HFCO,728.0,2.359578221416158,2.2784930641776358,0.1499566708785185,0.1399428235673091
J1502-6128,SPL,1277.39,977.3301161798746,99.1220266009602,1648.0062037185398,114.25261204321887
J1507-6640,HFCO,400.0,43.26698541076946,17.130096507932066,27.62456553875755,6.839951958262571
J1511-5835,SPL,1277.18,1134.2423925829971,113.65437443667123,1837.683468988566,126.15835072467452
J1512-5759,HFCO,640.0,97.21246291628128,47.02004995659824,34.86701702663957,10.538321642869596
J1513-5908,HFCO,400.0,3.774328590863437,3.0074997887971504,6.006546786407671,3.234053579837759
J1515-5720,SPL,728.0,32.74417409692697,7.0912711014338665,12.991716821414808,1.8804634237129063
J1522-5829,SPL,640.0,339.3726002664094,90.3394257173968,184.8370602428779,31.975802440522656
J1524-5625,SPL,728.0,9.79969401424908,5.068023688840537,3.231232627318286,1.2406607198471968
J1527-5552,SPL,400.0,409.5917784402216,61.135241000585154,256.82116263709617,26.248917735936654
J1530-5327,SPL,728.0,6.674586865494124,3.510867831428238,3.8596854474825526,1.4356980910854074
J1531-5610,SPL,1360.0,2.041420390014259,1.5370783704850173,0.7283775456822659,0.4076236455495661
J1534-5405,SPL,640.0,352.0907372097366,63.72709937248369,158.27675961473452,19.698659289582867
J1537-5645,SPL,1277.28,11.959420238722384,5.939057307388848,19.70847467825015,6.726764402523537
J1538-5551,SPL,1360.0,8.027669058946858,2.9287024732322138,4.055085291438566,1.0662057446221918
J1539-5626,SPL,640.0,43.86974409478038,21.915162494036384,9.62817532412966,3.537963116173959
J1543-5459,SPL,1360.0,28.62919950363209,9.25278547947075,13.052219587788615,3.0180996001022566
J1548-4927,SPL,728.0,59.558824739436304,14.33448186134529,51.74935341336349,8.517170413413861
J1548-5607,SPL,728.0,47.54110256186245,14.912266507962846,16.604811878060772,3.926647620122086
J1549-4848,SPL,436.0,93.5749159486074,23.56158513903664,54.05894536056774,9.8775950027904
J1551-5310,SPL,1360.0,12.601273890425832,5.072622656669485,4.310451442150967,1.304533188478297
J1553-5456,HFCO,400.0,77.07021218240065,25.737940792607635,70.59482439187839,15.087328116065756
J1555-2341,SPL,350.0,39.27128494124599,12.507030507010304,8.805729456061387,1.7479227961336394
J1555-3134,SPL,350.0,62.59896917269823,26.880844899624424,11.101851355016828,3.2668210550857166
J1557-4258,SPL,436.0,697.9275012712178,127.7738785398362,251.6654501749568,31.567624580078174
J1600-5751,SPL,400.0,191.33117268446955,49.2455706992925,46.87525264291169,8.173795578957332
J1601-5335,SPL,728.0,6.507495695499722,2.2687783307652545,3.0913195636990123,0.7579875917133565
J1602-5100,SPL,400.0,357.9074642613783,109.684290304891,110.34599650695384,23.20792381099882
J1603-5657,SPL,400.0,51.41209659956372,14.604301120009753,58.18671233322402,11.346997203506726
J1605-5257,SPL,400.0,148.06180722493988,71.43255655179557,95.85241816751224,30.96688983678233
J1611-5209,SPL,640.0,15.466678666540323,7.190971193856869,4.3487107329220365,1.389158151567028
J1614-2230,SPL,350.0,16.469630876226034,6.861137010826646,6.050968822447765,1.6787960222209788
J1614-3937,SPL,350.0,75.03786245855272,15.275930738622254,16.87118987717062,2.34588637385064
