Pulsar,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),ANTF Binary (type),Model,Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),S150 (mJy),u_S150 (mJy),S300 (mJy),u_S300 (mJy),S5000 (mJy),u_S5000 (mJy),S10000 (mJy),u_S10000 (mJy),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,lps_a,lps_u_a,lps_b,lps_u_b,lps_c,lps_u_c,SMART
J1057-7914,1.3474037757113553,1.3291253059679704e-15,0.74216802567,-7.321e-16,51.0,1354196920167.2507,3.0476348358237397e+25,2.1450251252926264e+31,,simple_power_law,0.99995104691871561364,400.0,1360.0,5,False,15.985207852496897,1.183518242395057,59.25652599432735,45.94062243862767,14.035002374602065,7.200660505642595,0.04057684793052941,0.027138820575095004,0.009610690932393934,0.00899454564447182,16061935.2343911,-2.07794474060366,0.3967179158014218,0.002164735252328909,0.00048719128952834107,,,,,,,,,,,,,,,,,,,False
J1058-5957,0.616270272343,6.57e-16,1.6226646730793888,-1.7299077013077148e-15,334.0,643899773709.8961,1.3864996235631727e+24,1.1081829144471421e+32,,simple_power_law,0.96689710683515428524,1277.39,1460.04,7,True,98.4438417395128,3.9621153076892583,181.82600478980407,178.9768587089594,30.737260440208495,20.713853528949777,0.022606660462160498,0.013277358173747469,0.0038216030270921742,0.003430735562784226,14861816.215510288,-2.564498057893877,0.44752219583644703,0.0006304546668112917,1.422598073985259e-05,,,,,,,,,,,,,,,,,,,False
J1059-5742,1.1850026197912604,4.306496271491783e-15,0.843879990895,-3.0668e-15,108.7,2285976025371.044,3.499592121276345e+25,1.021705851843352e+32,,broken_power_law,0.63246030231782379705,154.24,3100.0,13,False,47.05115196320478,4.0061929698797485,49.36059288873757,12.909229679961424,23.612785430295887,6.321109637205176,0.051219081544191525,0.02804401085515525,0.00820190294976604,0.006421435639957658,4359746.846221259,,,0.009713027550066372,0.0054959117559346465,684075197.5496039,264320765.93193287,-1.0637914873945404,0.43771391107477775,-2.6426508049184125,0.35115649167662766,,,,,,,,,,,,,True
J1105-6107,0.06320213091790895,1.5844620797882356e-14,15.8222513304,-3.9666e-12,271.24,1012643930098.1766,2.3520131995862893e+21,2.477686891172073e+36,,simple_power_law,0.99261739067874577014,728.0,3100.0,6,True,28.67750879516534,6.385098384280819,16.690997862677474,4.505152599238706,7.269880693099271,1.3821684451672447,0.24914331551667568,0.04117825221154066,0.1085161111511203,0.026508654285737277,63199.82977529265,-1.1990666148488365,0.11918547516462197,0.0010534889029656562,6.294070559702096e-05,,,,,,,,,,,,,,,,,,,False
J1107-5947,1.5165309654,3.4e-16,0.6593996580453866,-1.4783468907032673e-16,158.4,726632934096.4832,2.3316145276534394e+25,3.848440766911288e+30,,simple_power_law,0.9412581770994028485,400.0,1460.04,8,False,22.077335356365644,3.227528128204815,27.128013713709574,19.339861899124788,9.36212601689808,4.595844372263431,0.12473518643930243,0.05143331735960689,0.0430472553763074,0.0273044153557219,70670538.8298372,-1.5348753294033008,0.3203849161453852,0.0022288212721427504,0.0004281428523381318,,,,,,,,,,,,,,,,,,,False
J1107-6143,1.7993956675,1.558e-13,0.5557421405762054,-4.8118725117344325e-14,406.0,16943262533420.652,9.081652477529694e+26,1.0557161824286775e+33,,simple_power_law,0.9999233847050800206,1342.75,1522.1,5,True,41.54004689540727,6.021913443967984,21.843904866056487,13.716008477198416,7.503501909476781,3.251474211211197,0.09809984158442385,0.035019282543690015,0.03369783713862978,0.018585737070910057,182989.11400488846,-1.5415948102581107,0.2806636378208559,0.0006759456304395194,8.43287733153826e-06,,,,,,,,,,,,,,,,,,,False
J1110-5637,0.558254373368017,2.0607720388551204e-15,1.79129810299,-6.6125e-15,262.56,1085378018610.2562,1.7372617242698527e+24,4.676202263026809e+32,,high_frequency_cut_off_power_law,0.80640382874928628887,640.0,3100.0,11,True,50.76862627168827,19.151544535049226,15.238523151775478,6.705936682182333,10.143706283895247,2.961747144991774,0.0,0.0,0.0,0.0,4292084.052071879,-0.532302649392752,0.22094495906064882,0.004798280126756997,0.0004168833904377284,,,,,,,4171896769.967178,685420991.5818024,,,,,,,,,,,False
J1112-6103,0.06496185189352785,3.145957060326992e-14,15.3936498245,-7.4548e-12,595.69,1446623687539.897,3.64853561966575e+21,4.5304082161839534e+36,,simple_power_law,1.0,1360.0,3100.0,4,True,144.20286467757631,43.51750408802949,18.488140142089748,6.531305948521715,9.528147693036662,2.4388091407627583,0.6464201854232239,0.10310881394039238,0.3331425958012258,0.08492348557242192,32716.86211683529,-0.9563324194603547,0.14256463842039746,0.0015141058325707627,8.721774585979732e-05,,,,,,,,,,,,,,,,,,,False
J1112-6613,0.33421383999271465,8.248963088731612e-16,2.9920963178,-7.385e-15,249.3,531326985288.6631,1.824832436448791e+23,8.723400383854088e+32,,simple_power_law,0.96572159988824868293,400.0,3100.0,7,False,127.49232084684142,10.415441658631531,141.10749968677914,43.23573998542864,35.29169810174928,7.813979010242655,0.12726694004029437,0.030852519454734814,0.03183010425530428,0.010481312751258102,6419350.769565274,-1.9993939135296883,0.13942839474278668,0.0025635311574593277,0.00031672941901119507,,,,,,,,,,,,,,,,,,,False
J1112-6926,0.8204876424180775,2.8215157199672798e-15,1.21878739947,-4.1912e-15,148.4,1539668546106.0813,7.824042452907521e+24,2.016629322725035e+32,,simple_power_law,0.91167839633000968824,154.24,3100.0,9,False,33.462835454873364,3.9284097011774666,41.54382066565919,7.609934961059043,12.698455241860584,1.8334544256828589,0.10337436873507462,0.04708970301675407,0.03159783509327134,0.01765484557850493,4607396.705124708,-1.7099808979606053,0.15537729545764067,0.0030451764902860376,0.0005806016675600468,,,,,,,,,,,,,,,,,,,True
J1114-6100,0.880858250434319,4.6013011792730797e-14,1.13525643826,-5.93019e-14,676.7,6442335263746.954,4.050878606317527e+25,2.6578001304721964e+33,,high_frequency_cut_off_power_law,0.495695785815765122,640.0,3100.0,9,True,218.68275678745226,158.8241763313479,7.78888827512357,0.5789589331904137,7.489570718820928,0.5080156214436202,0.0,0.0,0.0,0.0,303313.26405245543,-5.183744666154011e-11,0.8695881412912158,0.00808820583021807,0.0006499152659504054,,,,,,,4053323469.397971,635996902.4205456,,,,,,,,,,,False
J1115+5030,1.6564397599369094,2.4927850365036195e-15,0.6037044172606,-9.08518e-16,9.18634,2056270362909.2512,8.597951336185627e+25,2.1652977592400763e+31,,broken_power_law,0.999999999999044209,20.0,1408.0,18,False,9.749808587072607,0.2766958176249733,186.11641494952136,,25.93231513669397,,0.008702781420334458,,0.0012125919705636302,,10528266.136648402,,,0.28748291124995495,0.007678192467819145,147500004.2718681,25233.17168830335,2.9999997794569677,0.8275456021493843,-2.8433823874126194,0.14370708944929844,,,,,,,,,,,,,False
J1115-6052,0.2597793706918377,7.227650931779184e-15,3.8494203652,-1.070996e-13,226.92,1386599034073.3616,2.236416572622564e+23,1.6275821759054276e+34,,simple_power_law,0.9246439308691157821,728.0,3100.0,9,True,9.15079126738982,2.280688707667104,5.688158240210068,1.3754160295736813,2.6370458936668086,0.45527099744526206,0.11642329039028354,0.013670743731520583,0.053974159452979176,0.010033701684617674,569473.5114116624,-1.109038920911986,0.10083556248561143,0.0004417799690619855,1.3514201765647382e-05,,,,,,,,,,,,,,,,,,,False
